"gen","scenario","GWAS","xAM","power","mean","median","sd","se","n"
0,"2xAM","Population","2-variate","39%",0.995015447991761,0.998970133882596,0.0987319797284172,0.00624435867678742,250
1,"2xAM","Population","2-variate","39%",1.02302780638517,1.02471678681771,0.0861543400581542,0.00544887889784901,250
2,"2xAM","Population","2-variate","39%",1.06286302780639,1.07106076210093,0.101117959474817,0.00639526128578053,250
3,"2xAM","Population","2-variate","39%",1.09219361483007,1.09165808444902,0.104359557041986,0.00660027791717882,250
4,"2xAM","Population","2-variate","39%",1.12098867147271,1.11225540679712,0.104571380955063,0.00661367483774308,250
5,"2xAM","Population","2-variate","39%",1.11843460350154,1.12255406797116,0.105091019586622,0.00664653967046186,250
0,"2xAM","Sibship","2-variate","39%",0.996045314109166,0.988671472708548,0.0918380935947812,0.00580835103454459,250
1,"2xAM","Sibship","2-variate","39%",1.00803295571576,1.00926879505664,0.102946070877647,0.00651088120276987,250
2,"2xAM","Sibship","2-variate","39%",0.994315139031926,0.993820803295572,0.105858170945935,0.00669505858257234,250
3,"2xAM","Sibship","2-variate","39%",0.995303810504634,0.988671472708548,0.0971756028298714,0.00614592475884595,250
4,"2xAM","Sibship","2-variate","39%",0.99427394438723,0.998970133882596,0.102464182671583,0.00648040391659518,250
5,"2xAM","Sibship","2-variate","39%",1.00201853759011,0.998970133882596,0.0989839549759304,0.00626029499070995,250
0,"5xAM","Population","5-variate","39%",1.002982492276,1.00411946446962,0.030893177526552,0.00195385610287662,250
1,"5xAM","Population","5-variate","39%",1.02810710607621,1.02574665293512,0.0341148485004723,0.00215761246586145,250
2,"5xAM","Population","5-variate","39%",1.06881565396498,1.06951596292482,0.0348997466338766,0.00220725378251689,250
3,"5xAM","Population","5-variate","39%",1.12188259526262,1.12049433573635,0.0318186487048792,0.0020123880395237,250
4,"5xAM","Population","5-variate","39%",1.16675180226571,1.16477857878476,0.0348939082212169,0.0022068845288784,250
5,"5xAM","Population","5-variate","39%",1.21099073120494,1.21112255406797,0.0370912557043125,0.00234585698602681,250
0,"5xAM","Sibship","5-variate","39%",1.00308135942327,1.00205973223481,0.028404347887291,0.00179644869551263,250
1,"5xAM","Sibship","5-variate","39%",1.00188671472709,1.0010298661174,0.0315141264821877,0.00199312836308686,250
2,"5xAM","Sibship","5-variate","39%",1.00720494335736,1.00823892893924,0.0300245765302055,0.0018989209523497,250
3,"5xAM","Sibship","5-variate","39%",1.00465499485067,1.00514933058702,0.0300541701394885,0.00190079261654008,250
4,"5xAM","Sibship","5-variate","39%",1.00276828012358,1.0010298661174,0.0303164470041741,0.00191738046193957,250
5,"5xAM","Sibship","5-variate","39%",1.00295777548919,1.00205973223481,0.0310482205515485,0.00196366188476285,250
0,"2xAM","Population","2-variate","50%",1.00849816849817,1.00732600732601,0.131329759645798,0.00830602330086382,250
1,"2xAM","Population","2-variate","50%",1.03758241758242,1.04395604395604,0.139997453558869,0.00885421639739343,250
2,"2xAM","Population","2-variate","50%",1.12161172161172,1.11721611721612,0.141275647298624,0.00893505646756534,250
3,"2xAM","Population","2-variate","50%",1.15978021978022,1.16300366300366,0.156189556690139,0.00987829491745659,250
4,"2xAM","Population","2-variate","50%",1.20234432234432,1.20879120879121,0.137650540972888,0.00870578461257312,250
5,"2xAM","Population","2-variate","50%",1.23465201465201,1.22710622710623,0.141041659667192,0.00892025779037266,250
0,"2xAM","Sibship","2-variate","50%",1.01216117216117,1.00732600732601,0.129332778959283,0.00817972315260871,250
1,"2xAM","Sibship","2-variate","50%",1.00212454212454,1.00732600732601,0.130969526209508,0.00828324013790327,250
2,"2xAM","Sibship","2-variate","50%",1.01794871794872,1.00732600732601,0.136144324310016,0.00861052310648563,250
3,"2xAM","Sibship","2-variate","50%",1.00512820512821,1.00732600732601,0.139957398309446,0.00885168308098495,250
4,"2xAM","Sibship","2-variate","50%",1.00857142857143,1.00732600732601,0.13308679147782,0.00841714775107596,250
5,"2xAM","Sibship","2-variate","50%",0.997142857142857,0.989010989010988,0.140031090344308,0.00885634377449651,250
0,"5xAM","Population","5-variate","50%",0.998930402930403,0.999084249084249,0.0421603024733679,0.00266645165314946,250
1,"5xAM","Population","5-variate","50%",1.04134798534799,1.04304029304029,0.041503719265792,0.00262492568496228,250
2,"5xAM","Population","5-variate","50%",1.12435897435897,1.12454212454212,0.0489001195448409,0.00309271511232427,250
3,"5xAM","Population","5-variate","50%",1.21652747252747,1.21153846153846,0.0529070036762291,0.00334613271583571,250
4,"5xAM","Population","5-variate","50%",1.30226373626374,1.3040293040293,0.0554802134877463,0.00350887679387345,250
5,"5xAM","Population","5-variate","50%",1.3719706959707,1.36813186813187,0.055801864530836,0.0035292197920321,250
0,"5xAM","Sibship","5-variate","50%",0.999553113553113,1.00091575091575,0.0408066720078624,0.00258084054552563,250
1,"5xAM","Sibship","5-variate","50%",0.997728937728938,0.996336996336996,0.0441949975579712,0.00279513706937537,250
2,"5xAM","Sibship","5-variate","50%",1.0087326007326,1.00915750915751,0.0444843818379344,0.00281343933825,250
3,"5xAM","Sibship","5-variate","50%",1.00442490842491,1.00549450549451,0.041143437232747,0.00260213944847312,250
4,"5xAM","Sibship","5-variate","50%",1.00448351648352,1.00732600732601,0.0408280766056114,0.00258219429115137,250
5,"5xAM","Sibship","5-variate","50%",1.00652747252747,1.00549450549451,0.0407870840311119,0.00257960169309991,250
0,"2xAM","Population","2-variate","66%",0.998086124401914,1.00478468899522,0.21238421636057,0.013432357255388,250
1,"2xAM","Population","2-variate","66%",1.10564593301435,1.10047846889952,0.253256086189943,0.0160173212732027,250
2,"2xAM","Population","2-variate","66%",1.288995215311,1.29186602870813,0.244350665549173,0.0154540930182685,250
3,"2xAM","Population","2-variate","66%",1.40803827751196,1.38755980861244,0.288219275180792,0.0182285875026828,250
4,"2xAM","Population","2-variate","66%",1.5377990430622,1.5311004784689,0.268550274819135,0.0169846106938526,250
5,"2xAM","Population","2-variate","66%",1.60918660287081,1.57894736842105,0.293794669291517,0.0185812063875424,250
0,"2xAM","Sibship","2-variate","66%",1.00038277511962,1.00478468899522,0.218166596858352,0.0137980671088026,250
1,"2xAM","Sibship","2-variate","66%",0.994641148325359,0.980861244019139,0.200347610939526,0.0126710954868434,250
2,"2xAM","Sibship","2-variate","66%",1.00593301435407,1.00478468899522,0.193866082612209,0.0122611676421789,250
3,"2xAM","Sibship","2-variate","66%",0.972248803827751,0.956937799043062,0.225777842031086,0.0142794445203186,250
4,"2xAM","Sibship","2-variate","66%",1.00382775119617,1.00478468899522,0.200419554512362,0.0126756455979068,250
5,"2xAM","Sibship","2-variate","66%",0.995215311004785,1.00478468899522,0.208890123799595,0.0132113714384253,250
0,"5xAM","Population","5-variate","66%",1.00195215311005,1,0.0643852483803957,0.00407208065195435,250
1,"5xAM","Population","5-variate","66%",1.10962679425837,1.11483253588517,0.0762373455192479,0.00482167309212111,250
2,"5xAM","Population","5-variate","66%",1.33144497607655,1.33014354066986,0.0874767609067579,0.00553251613598662,250
3,"5xAM","Population","5-variate","66%",1.57911961722488,1.57416267942584,0.0963433097437821,0.0060932859221889,250
4,"5xAM","Population","5-variate","66%",1.79454545454545,1.79904306220096,0.108484072568847,0.00686113518337103,250
5,"5xAM","Population","5-variate","66%",1.98329186602871,1.98086124401914,0.11904920146364,0.00752933260498708,250
0,"5xAM","Sibship","5-variate","66%",1.00378947368421,1,0.0677018429104311,0.0042818405077577,250
1,"5xAM","Sibship","5-variate","66%",1.00185645933014,1.00239234449761,0.0715408949533501,0.00452464347798863,250
2,"5xAM","Sibship","5-variate","66%",1.0097033492823,1.00478468899522,0.068729951207077,0.00434686378573205,250
3,"5xAM","Sibship","5-variate","66%",0.995311004784689,0.997607655502392,0.0679727130954467,0.00429897184245532,250
4,"5xAM","Sibship","5-variate","66%",1.00222009569378,0.997607655502392,0.0669761582357663,0.00423594417905732,250
5,"5xAM","Sibship","5-variate","66%",1.00926315789474,1.00717703349282,0.0721510600129565,0.00456323370472881,250
