"gen","scenario","power","GWAS","mean","se","se_1.96","median"
0,"5xAM","39%","Population",1.002982492276,0.00195385610287662,0.00382955796163818,1.00411946446962
1,"5xAM","39%","Population",1.02810710607621,0.00215761246586145,0.00422892043308843,1.02574665293512
2,"5xAM","39%","Population",1.06881565396498,0.00220725378251689,0.0043262174137331,1.06951596292482
3,"5xAM","39%","Population",1.12188259526262,0.0020123880395237,0.00394428055746645,1.12049433573635
4,"5xAM","39%","Population",1.16675180226571,0.0022068845288784,0.00432549367660166,1.16477857878476
5,"5xAM","39%","Population",1.21099073120494,0.00234585698602681,0.00459787969261255,1.21112255406797
0,"5xAM + GxE","39%","Population",0.996803295571576,0.0019463859974879,0.00381491655507628,0.997425334706488
1,"5xAM + GxE","39%","Population",1.02209268795057,0.00195447788081398,0.0038307766463954,1.0216271884655
2,"5xAM + GxE","39%","Population",1.06925231719876,0.00216494569305098,0.00424329355837992,1.07260556127703
3,"5xAM + GxE","39%","Population",1.12308547888774,0.00220170265603417,0.00431533720582697,1.12152420185376
4,"5xAM + GxE","39%","Population",1.16574665293512,0.00228936063681248,0.00448714684815247,1.16168898043254
5,"5xAM + GxE","39%","Population",1.20823480947477,0.00226835620209538,0.00444597815610695,1.21009268795057
0,"5xAM + VT","39%","Population",1.00092276004119,0.0019479522851868,0.00381798647896612,0.999485066941298
1,"5xAM + VT","39%","Population",1.21681977342945,0.00252503037662326,0.0049490595381816,1.21472708547889
2,"5xAM + VT","39%","Population",1.47164160659114,0.00304188833303747,0.00596210113275345,1.47270854788877
3,"5xAM + VT","39%","Population",1.62400411946447,0.00319657541007094,0.00626528780373903,1.62615859938208
4,"5xAM + VT","39%","Population",1.70561071060762,0.00302702247913123,0.0059329640590972,1.70494335736354
5,"5xAM + VT","39%","Population",1.7471184346035,0.00328095436257778,0.00643067055065245,1.74819773429454
0,"5xAM + VT + GxE","39%","Population",1.00184552008239,0.00202694228887437,0.00397280688619377,1.0010298661174
1,"5xAM + VT + GxE","39%","Population",1.2131122554068,0.00242967157518987,0.00476215628737215,1.21369721936148
2,"5xAM + VT + GxE","39%","Population",1.47756127703399,0.00319340342582519,0.00625907071461737,1.4783728115345
3,"5xAM + VT + GxE","39%","Population",1.63802265705458,0.00337985684421702,0.00662451941466537,1.63697219361483
4,"5xAM + VT + GxE","39%","Population",1.73176107106076,0.00358501237868937,0.00702662426223117,1.72863027806385
5,"5xAM + VT + GxE","39%","Population",1.77015859938208,0.0031019657866059,0.00607985294174757,1.77445932028836
0,"5xAM","50%","Population",0.998930402930403,0.00266645165314946,0.00522624524017294,0.999084249084249
1,"5xAM","50%","Population",1.04134798534799,0.00262492568496228,0.00514485434252607,1.04304029304029
2,"5xAM","50%","Population",1.12435897435897,0.00309271511232427,0.00606172162015557,1.12454212454212
3,"5xAM","50%","Population",1.21652747252747,0.00334613271583571,0.006558420123038,1.21153846153846
4,"5xAM","50%","Population",1.30226373626374,0.00350887679387345,0.00687739851599197,1.3040293040293
5,"5xAM","50%","Population",1.3719706959707,0.0035292197920321,0.00691727079238292,1.36813186813187
0,"5xAM + GxE","50%","Population",0.99992673992674,0.00253395298711777,0.00496654785475082,0.998168498168498
1,"5xAM + GxE","50%","Population",1.04172893772894,0.00277354601682854,0.00543615019298395,1.04029304029304
2,"5xAM + GxE","50%","Population",1.12939194139194,0.00297939452134324,0.00583961326183275,1.12912087912088
3,"5xAM + GxE","50%","Population",1.22504761904762,0.00314846147510094,0.00617098449119785,1.22344322344322
4,"5xAM + GxE","50%","Population",1.30139926739927,0.00369669455530634,0.00724552132840043,1.3003663003663
5,"5xAM + GxE","50%","Population",1.37293772893773,0.00329982914706129,0.00646766512824013,1.37362637362637
0,"5xAM + VT","50%","Population",1.00242490842491,0.00278427332977043,0.00545717572635005,1.003663003663
1,"5xAM + VT","50%","Population",1.38504029304029,0.0034963373951253,0.00685282129444558,1.38461538461538
2,"5xAM + VT","50%","Population",1.84091575091575,0.00465767546735632,0.00912904391601839,1.83791208791209
3,"5xAM + VT","50%","Population",2.12339926739927,0.00523294161872926,0.0102565655727094,2.11996336996337
4,"5xAM + VT","50%","Population",2.26238827838828,0.00528403483511286,0.0103567082768212,2.26190476190476
5,"5xAM + VT","50%","Population",2.33792673992674,0.00462562464562842,0.0090662243054317,2.33516483516484
0,"5xAM + VT + GxE","50%","Population",1.00120146520147,0.0027539323399672,0.00539770738633572,0.999084249084249
1,"5xAM + VT + GxE","50%","Population",1.38759706959707,0.00354604154214689,0.0069502414226079,1.38827838827839
2,"5xAM + VT + GxE","50%","Population",1.86372161172161,0.00425815461687043,0.00834598304906605,1.85622710622711
3,"5xAM + VT + GxE","50%","Population",2.15181684981685,0.00540681595855839,0.0105973592787744,2.15018315018316
4,"5xAM + VT + GxE","50%","Population",2.29936263736264,0.00511591694772625,0.0100271972175434,2.2967032967033
5,"5xAM + VT + GxE","50%","Population",2.38327472527473,0.00513863421007729,0.0100717230517515,2.38186813186813
0,"5xAM","66%","Population",1.00195215311005,0.00407208065195435,0.00798127807783053,1
1,"5xAM","66%","Population",1.10962679425837,0.00482167309212111,0.00945047926055738,1.11483253588517
2,"5xAM","66%","Population",1.33144497607655,0.00553251613598662,0.0108437316265338,1.33014354066986
3,"5xAM","66%","Population",1.57911961722488,0.0060932859221889,0.0119428404074902,1.57416267942584
4,"5xAM","66%","Population",1.79454545454545,0.00686113518337103,0.0134478249594072,1.79904306220096
5,"5xAM","66%","Population",1.98329186602871,0.00752933260498708,0.0147574919057747,1.98086124401914
0,"5xAM + GxE","66%","Population",0.989397129186603,0.00424800188950578,0.00832608370343134,0.99043062200957
1,"5xAM + GxE","66%","Population",1.10922488038278,0.00451440035683713,0.00884822469940078,1.11004784688995
2,"5xAM + GxE","66%","Population",1.33508133971292,0.00509389775933765,0.0099840396083018,1.33971291866029
3,"5xAM + GxE","66%","Population",1.584,0.00584626995612817,0.0114586891140112,1.57894736842105
4,"5xAM + GxE","66%","Population",1.79471770334928,0.0071442973042882,0.0140028227164049,1.79186602870813
5,"5xAM + GxE","66%","Population",1.99111961722488,0.00827948418223553,0.0162277889971816,1.99282296650718
0,"5xAM + VT","66%","Population",1.00231578947368,0.00438475497197685,0.00859411974507462,1.00239234449761
1,"5xAM + VT","66%","Population",2.0342966507177,0.00723710489233708,0.0141847255889807,2.0334928229665
2,"5xAM + VT","66%","Population",3.14784688995215,0.00978231036221965,0.0191733283099505,3.14832535885168
3,"5xAM + VT","66%","Population",3.80051674641148,0.010840523174875,0.0212474254227551,3.79904306220096
4,"5xAM + VT","66%","Population",4.1048995215311,0.0115052273379635,0.0225502455824085,4.11004784688996
5,"5xAM + VT","66%","Population",4.25096650717703,0.0103339019935191,0.0202544479072975,4.24641148325359
0,"5xAM + VT + GxE","66%","Population",1.00532057416268,0.00395602146576629,0.00775380207290194,1.00239234449761
1,"5xAM + VT + GxE","66%","Population",2.03050717703349,0.00747344719773792,0.0146479565075663,2.03827751196172
2,"5xAM + VT + GxE","66%","Population",3.19217224880383,0.00963510557048057,0.0188848069181419,3.1866028708134
3,"5xAM + VT + GxE","66%","Population",3.86195215311005,0.0114801710536348,0.0225011352651242,3.85645933014354
4,"5xAM + VT + GxE","66%","Population",4.15921531100479,0.0105513354655671,0.0206806175125115,4.14832535885168
5,"5xAM + VT + GxE","66%","Population",4.32124401913876,0.0112357816155222,0.0220221319664236,4.32535885167464
0,"5xAM","39%","Sibship",1.00308135942327,0.00179644869551263,0.00352103944320475,1.00205973223481
1,"5xAM","39%","Sibship",1.00188671472709,0.00199312836308686,0.00390653159165024,1.0010298661174
2,"5xAM","39%","Sibship",1.00720494335736,0.0018989209523497,0.0037218850666054,1.00823892893924
3,"5xAM","39%","Sibship",1.00465499485067,0.00190079261654008,0.00372555352841856,1.00514933058702
4,"5xAM","39%","Sibship",1.00276828012358,0.00191738046193957,0.00375806570540155,1.0010298661174
5,"5xAM","39%","Sibship",1.00295777548919,0.00196366188476285,0.00384877729413519,1.00205973223481
0,"5xAM + GxE","39%","Sibship",1.00051905252317,0.0020049480889109,0.00392969825426536,1.00205973223481
1,"5xAM + GxE","39%","Sibship",1.00590731204943,0.00198445690459389,0.00388953553300403,1.00617919670443
2,"5xAM + GxE","39%","Sibship",1.00333676622039,0.00218482646020442,0.00428225986200066,1.00205973223481
3,"5xAM + GxE","39%","Sibship",1.00213800205973,0.00201849519980143,0.0039562505916108,1.00463439752832
4,"5xAM + GxE","39%","Sibship",1.00315550978373,0.00197955867348227,0.00387993500002525,1
5,"5xAM + GxE","39%","Sibship",1.00319670442842,0.00182286429431251,0.00357281401685251,1.00308959835221
0,"5xAM + VT","39%","Sibship",1.00392996910402,0.00194873163453866,0.00381951400369578,1.00308959835221
1,"5xAM + VT","39%","Sibship",1.00691246138002,0.00186505388271758,0.00365550561012645,1.00772399588054
2,"5xAM + VT","39%","Sibship",1.00246343975283,0.00202731379268481,0.00397353503366223,1.00411946446962
3,"5xAM + VT","39%","Sibship",1.00488980432544,0.00200624204266653,0.00393223440362639,1.00617919670443
4,"5xAM + VT","39%","Sibship",1.00485272914521,0.00193229385773237,0.00378729596115544,1.00514933058702
5,"5xAM + VT","39%","Sibship",1.0060473738414,0.00203507425548969,0.00398874554075979,1.01029866117405
0,"5xAM + VT + GxE","39%","Sibship",0.998718846549948,0.00193419245923423,0.0037910172200991,0.998970133882596
1,"5xAM + VT + GxE","39%","Sibship",1.00169721936148,0.00196114019969573,0.00384383479140364,1.0010298661174
2,"5xAM + VT + GxE","39%","Sibship",1.00156539649846,0.00195462814711862,0.0038310711683525,1.00154479917611
3,"5xAM + VT + GxE","39%","Sibship",1.00457672502575,0.00207132887059909,0.00405980458637421,1.00463439752832
4,"5xAM + VT + GxE","39%","Sibship",1.00147064881565,0.00198775380712032,0.00389599746195582,1.00257466529351
5,"5xAM + VT + GxE","39%","Sibship",1.00453964984552,0.00194177207443934,0.00380587326590111,1.00463439752832
0,"5xAM","50%","Sibship",0.999553113553113,0.00258084054552563,0.00505844746923023,1.00091575091575
1,"5xAM","50%","Sibship",0.997728937728938,0.00279513706937537,0.00547846865597573,0.996336996336996
2,"5xAM","50%","Sibship",1.0087326007326,0.00281343933825,0.00551434110297,1.00915750915751
3,"5xAM","50%","Sibship",1.00442490842491,0.00260213944847312,0.00510019331900731,1.00549450549451
4,"5xAM","50%","Sibship",1.00448351648352,0.00258219429115137,0.00506110081065668,1.00732600732601
5,"5xAM","50%","Sibship",1.00652747252747,0.00257960169309991,0.00505601931847583,1.00549450549451
0,"5xAM + GxE","50%","Sibship",0.999501831501831,0.00251062257282915,0.00492082024274513,0.998168498168498
1,"5xAM + GxE","50%","Sibship",1.00532600732601,0.00278499056207938,0.00545858150167558,1
2,"5xAM + GxE","50%","Sibship",1.00341391941392,0.00241799446480801,0.0047392691510237,1.003663003663
3,"5xAM + GxE","50%","Sibship",1.00117948717949,0.00260276662779447,0.00510142259047716,1
4,"5xAM + GxE","50%","Sibship",1.00451282051282,0.00272173026716292,0.00533459132363932,1.0018315018315
5,"5xAM + GxE","50%","Sibship",1.00394139194139,0.00281450864101452,0.00551643693638846,1.00549450549451
0,"5xAM + VT","50%","Sibship",0.9963663003663,0.00270241530346191,0.00529673399478535,0.995421245421245
1,"5xAM + VT","50%","Sibship",1.00472527472527,0.00266911954408499,0.00523147430640658,1.00549450549451
2,"5xAM + VT","50%","Sibship",1.00391941391941,0.00249370189515324,0.00488765571450034,1.00274725274725
3,"5xAM + VT","50%","Sibship",0.99825641025641,0.00251893566248029,0.00493711389846136,1
4,"5xAM + VT","50%","Sibship",1.00034432234432,0.0026906273180169,0.00527362954331312,1
5,"5xAM + VT","50%","Sibship",0.999941391941392,0.00266908768620117,0.00523141186495429,0.996336996336996
0,"5xAM + VT + GxE","50%","Sibship",1.00147985347985,0.0026044789335561,0.00510477870976995,0.996336996336996
1,"5xAM + VT + GxE","50%","Sibship",1.00424908424908,0.00260542651564576,0.00510663597066569,1.0018315018315
2,"5xAM + VT + GxE","50%","Sibship",1.00808791208791,0.00267766420028014,0.00524822183254908,1.01190476190476
3,"5xAM + VT + GxE","50%","Sibship",1.0052380952381,0.0027657613868061,0.00542089231813995,1.003663003663
4,"5xAM + VT + GxE","50%","Sibship",1.00354578754579,0.00259108090257489,0.00507851856904679,1.00549450549451
5,"5xAM + VT + GxE","50%","Sibship",1.00689377289377,0.00279630775907634,0.00548076320778962,1.00549450549451
0,"5xAM","66%","Sibship",1.00378947368421,0.0042818405077577,0.0083924073952051,1
1,"5xAM","66%","Sibship",1.00185645933014,0.00452464347798863,0.00886830121685772,1.00239234449761
2,"5xAM","66%","Sibship",1.0097033492823,0.00434686378573205,0.00851985302003482,1.00478468899522
3,"5xAM","66%","Sibship",0.995311004784689,0.00429897184245532,0.00842598481121242,0.997607655502392
4,"5xAM","66%","Sibship",1.00222009569378,0.00423594417905732,0.00830245059095235,0.997607655502392
5,"5xAM","66%","Sibship",1.00926315789474,0.00456323370472881,0.00894393806126847,1.00717703349282
0,"5xAM + GxE","66%","Sibship",0.996306220095694,0.00408423764059799,0.00800510577557206,0.995215311004784
1,"5xAM + GxE","66%","Sibship",1.00643062200957,0.00432445409253306,0.00847593002136479,1.00478468899522
2,"5xAM + GxE","66%","Sibship",1.00421052631579,0.004328023730175,0.008482926511143,1
3,"5xAM + GxE","66%","Sibship",1.00124401913876,0.00470251293757623,0.00921692535764941,1.00717703349282
4,"5xAM + GxE","66%","Sibship",0.997741626794258,0.00441917009838258,0.00866157339282986,1
5,"5xAM + GxE","66%","Sibship",1.00654545454545,0.0044488564651732,0.00871975867173946,1.00478468899522
0,"5xAM + VT","66%","Sibship",0.992593301435407,0.0041234849460638,0.00808203049428504,0.99043062200957
1,"5xAM + VT","66%","Sibship",1.00038277511962,0.00387313841813139,0.00759135129953752,0.995215311004784
2,"5xAM + VT","66%","Sibship",0.999904306220096,0.00445144955992863,0.00872484113746011,0.99043062200957
3,"5xAM + VT","66%","Sibship",1.00736842105263,0.00465306157632037,0.00912000068958792,1.00478468899522
4,"5xAM + VT","66%","Sibship",1.00103349282297,0.00406801235377415,0.00797330421339733,1.00478468899522
5,"5xAM + VT","66%","Sibship",1.00386602870813,0.00395397203368026,0.00774978518601331,1
0,"5xAM + VT + GxE","66%","Sibship",0.997301435406699,0.0045131730098861,0.00884581909937675,0.995215311004784
1,"5xAM + VT + GxE","66%","Sibship",1.008995215311,0.00463731847892226,0.00908914421868763,1.00717703349282
2,"5xAM + VT + GxE","66%","Sibship",1.00801913875598,0.0042639197119229,0.00835728263536888,1
3,"5xAM + VT + GxE","66%","Sibship",1.00340669856459,0.00448053319944917,0.00878184507092038,1
4,"5xAM + VT + GxE","66%","Sibship",1.00082296650718,0.00442903313671063,0.00868090494795283,1.00478468899522
5,"5xAM + VT + GxE","66%","Sibship",0.996363636363636,0.00416597238714413,0.0081653058788025,0.995215311004784
