"gen","scenario","variable","var_label","median.50.","q10.10.","q90.90.","mean","se"
0,"5xAM","h2_he","hat(italic(h))^2",0.499545040726662,0.489320420622826,0.508850521445274,0.499333562072118,0.000289634423370263
1,"5xAM","h2_he","hat(italic(h))^2",0.542159444093704,0.529523969888687,0.552835700511932,0.541729674482346,0.00033916161109663
2,"5xAM","h2_he","hat(italic(h))^2",0.580923026800156,0.566764339208603,0.593644002079964,0.580453647772471,0.000386358181929365
3,"5xAM","h2_he","hat(italic(h))^2",0.613566815853119,0.596447631120682,0.627974610328675,0.612840388711294,0.000450557012901353
4,"5xAM","h2_he","hat(italic(h))^2",0.639382326602935,0.621656627655029,0.654606498479844,0.638618189652761,0.000487899570286104
5,"5xAM","h2_he","hat(italic(h))^2",0.658624130487442,0.637473229169846,0.678432828187942,0.658128500350316,0.000589919942338214
0,"5xAM + GxE","h2_he","hat(italic(h))^2",0.501892390847206,0.492089821100234,0.510982533097267,0.501737407358487,0.000270480007800527
1,"5xAM + GxE","h2_he","hat(italic(h))^2",0.543932777643204,0.533160600662231,0.55401238322258,0.543660016846657,0.000310309284676482
2,"5xAM + GxE","h2_he","hat(italic(h))^2",0.582236981391906,0.569573016166687,0.594378130435943,0.581730040383339,0.00035942242463373
3,"5xAM + GxE","h2_he","hat(italic(h))^2",0.613533896207809,0.600016698837281,0.626442589759826,0.613638302564621,0.000393589115468285
4,"5xAM + GxE","h2_he","hat(italic(h))^2",0.639386320114135,0.622796509265899,0.65431118607521,0.63884997288386,0.000469488568578479
5,"5xAM + GxE","h2_he","hat(italic(h))^2",0.658935141563415,0.638950426578522,0.677221695184708,0.658400882546107,0.000551822146585804
0,"5xAM + VT","h2_he","hat(italic(h))^2",0.499976196885109,0.489366934895515,0.509202944636345,0.49940697833697,0.000294723491683275
1,"5xAM + VT","h2_he","hat(italic(h))^2",0.606008929014206,0.593294622898102,0.616629086732864,0.605308519124985,0.000349387368750993
2,"5xAM + VT","h2_he","hat(italic(h))^2",0.680203175544739,0.667236890792847,0.692310094833374,0.679808683474859,0.000371494693442785
3,"5xAM + VT","h2_he","hat(italic(h))^2",0.719682645797729,0.705349214076996,0.733647654056549,0.719543361186981,0.00040293813669013
4,"5xAM + VT","h2_he","hat(italic(h))^2",0.739972412586212,0.724116451740265,0.755765868425369,0.739666366147995,0.000458594789720603
5,"5xAM + VT","h2_he","hat(italic(h))^2",0.748017537593842,0.727862493991852,0.768808306455612,0.747932349538803,0.000581924962771165
0,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.499302244186401,0.490209270715713,0.508148717880249,0.499261685236295,0.000264332729293971
1,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.599779164791107,0.588654112815857,0.609428589344025,0.599259511852264,0.000307897169350259
2,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.666427952051162,0.654578684568406,0.6772804915905,0.666352862993876,0.000321759093643327
3,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.697212618589401,0.685805526971817,0.708442987203598,0.697374803050359,0.000325795130022336
4,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.707387733459472,0.693156476020813,0.720407334566117,0.706940037997564,0.000376795699142438
5,"5xAM + VT + GxE","h2_he","hat(italic(h))^2",0.702112525701522,0.685850521326065,0.720650007724762,0.702738227208455,0.0005036607253707
0,"5xAM","h2_true","italic(h)^2",0.49946398133727,0.489361628818294,0.508937419897497,0.49929458316644,0.000285772570069365
1,"5xAM","h2_true","italic(h)^2",0.511810855595973,0.501186018839332,0.521468085326111,0.511488787404746,0.000292851044754246
2,"5xAM","h2_true","italic(h)^2",0.520729769641731,0.510017850156661,0.530210894724883,0.520304327852212,0.000297472161276091
3,"5xAM","h2_true","italic(h)^2",0.527002419645112,0.516045589248147,0.537211873784206,0.526631156740724,0.000308267818630204
4,"5xAM","h2_true","italic(h)^2",0.531646764802668,0.520604129205289,0.541261465596037,0.531375304908471,0.000313828844919078
5,"5xAM","h2_true","italic(h)^2",0.534749516490167,0.523250260979347,0.545450702355607,0.534531532802378,0.000323127614129376
0,"5xAM + GxE","h2_true","italic(h)^2",0.501995999452814,0.492646071628824,0.510632591558065,0.50180762974729,0.000258855526548569
1,"5xAM + GxE","h2_true","italic(h)^2",0.513387392880593,0.503476850675331,0.521907666606935,0.512942026304654,0.00026761283870938
2,"5xAM + GxE","h2_true","italic(h)^2",0.521132564497269,0.5114792572927,0.529896256701631,0.520909474807746,0.000272761799547896
3,"5xAM + GxE","h2_true","italic(h)^2",0.526983830088085,0.517127992643507,0.535571584915781,0.526778904947634,0.000275240333965039
4,"5xAM + GxE","h2_true","italic(h)^2",0.531035965917883,0.520767154305756,0.540073345007456,0.530834110524682,0.000281553880654937
5,"5xAM + GxE","h2_true","italic(h)^2",0.533987724142257,0.52380337316676,0.544199519840498,0.534052075555788,0.000302953546879259
0,"5xAM + VT","h2_true","italic(h)^2",0.49961217975353,0.48937039547027,0.508939129120772,0.499254348935464,0.00028483389034335
1,"5xAM + VT","h2_true","italic(h)^2",0.428291650921422,0.420476854180494,0.435096427564961,0.428030856492344,0.000214207938657417
2,"5xAM + VT","h2_true","italic(h)^2",0.391518314869438,0.385267951887913,0.397091342271134,0.39130636034095,0.000175352824992258
3,"5xAM + VT","h2_true","italic(h)^2",0.372305856478961,0.366428594908867,0.377501804682345,0.372165608613268,0.000159027307975541
4,"5xAM + VT","h2_true","italic(h)^2",0.362370498583723,0.356526999002045,0.367501982113115,0.362198048310008,0.000159554358129464
5,"5xAM + VT","h2_true","italic(h)^2",0.357149720169097,0.351190055315237,0.362453239389656,0.357036636305875,0.000165635215746471
0,"5xAM + VT + GxE","h2_true","italic(h)^2",0.499636658659617,0.49040547862788,0.507851607454645,0.499294056373599,0.000257941793310141
1,"5xAM + VT + GxE","h2_true","italic(h)^2",0.422333170597598,0.415438534859332,0.42857878466904,0.42216508278769,0.0001837402896169
2,"5xAM + VT + GxE","h2_true","italic(h)^2",0.376970485626579,0.372066248233546,0.381430693916613,0.376739063301936,0.000136141089685009
3,"5xAM + VT + GxE","h2_true","italic(h)^2",0.347949295393051,0.343876579239295,0.351581393655558,0.347791705260409,0.00011252857107729
4,"5xAM + VT + GxE","h2_true","italic(h)^2",0.327711962082087,0.323944633130616,0.331574168042544,0.327674421318942,0.000110421388140354
5,"5xAM + VT + GxE","h2_true","italic(h)^2",0.311910258369664,0.307233723325132,0.316371084938933,0.31190229701719,0.000128526032909815
